zip,winred_donations,estimate,moe,per_capita_donations
21660,318,4100,346,77.5609756097561
20886,2666,34692,2228,76.8476882278335
21875,571,7446,784,76.68546870803115
21040,1925,25110,1503,76.66268418956591
21060,2913,38418,1871,75.82383257847884
21838,168,2219,459,75.70977917981072
21162,327,4322,618,75.65941693660342
21052,33,438,259,75.34246575342465
20716,1680,22340,1189,75.20143240823634
20680,44,588,330,74.82993197278911
21734,64,861,226,74.3321718931475
21801,2279,30766,1652,74.07527790417993
21155,225,3063,660,73.45739471106758
21917,138,1884,557,73.2484076433121
21623,160,2187,350,73.15957933241884
20874,4528,61922,2470,73.12425309260037
20866,1219,16680,1762,73.08153477218225
20906,5229,71560,2542,73.0715483510341
21783,718,9866,949,72.77518751266977
21773,402,5553,623,72.39330091842247
21029,996,13817,1531,72.08511254252008
21757,196,2722,484,72.00587803085966
21113,2621,36495,2114,71.81805726811892
21612,40,557,279,71.8132854578097
21904,429,5975,651,71.79916317991632
21671,57,805,219,70.80745341614906
20842,136,1927,340,70.57602490918525
21629,702,9988,505,70.28434120945134
20622,383,5471,1124,70.00548345823434
21779,121,1731,677,69.90179087232814
21822,182,2686,755,67.75874906924795
21673,188,2793,352,67.31113498030791
21704,1240,18473,1181,67.1249932333676
20626,16,239,154,66.94560669456067
20904,3751,56532,2478,66.35180075001769
21034,196,2958,452,66.26098715348208
20838,24,368,162,65.21739130434783
21555,98,1515,317,64.68646864686468
20896,54,840,120,64.28571428571428
20657,1350,21054,1291,64.12083214591053
21044,2871,45100,2073,63.65853658536585
20675,131,2060,501,63.592233009708735
21639,299,4734,588,63.160118293198146
21237,1956,30983,1755,63.131394635768004
21676,21,333,181,63.063063063063055
21234,4150,66095,2210,62.78841062107572
21737,149,2406,638,61.92851205320033
21782,271,4389,715,61.745272271588064
21814,5,81,91,61.72839506172839
21610,22,363,94,60.60606060606061
21710,301,4988,719,60.3448275862069
21226,355,5902,1298,60.14910199932226
21201,1094,18305,1566,59.76509150505326
21036,128,2145,385,59.67365967365967
21117,3482,58516,2594,59.50509262423952
21632,385,6504,482,59.19434194341944
21613,1016,17945,506,56.61744218445249
21657,81,1437,388,56.36743215031315
21919,193,3451,578,55.92581860330339
21227,1904,35052,1827,54.319297044391185
21076,1184,22041,1730,53.71807086792795
21780,106,1975,447,53.67088607594937
20812,15,282,93,53.191489361702125
21222,3186,60013,2825,53.088497492210024
21703,2098,39606,1671,52.97177195374438
21212,1784,33861,1974,52.68598092200467
21523,7,133,77,52.63157894736842
20601,1425,27328,1457,52.144320843091336
20879,1423,27489,1961,51.766161009858486
21045,2114,40980,1625,51.58613958028307
20662,133,2590,464,51.351351351351354
21538,29,571,175,50.78809106830123
21719,58,1145,252,50.65502183406113
20621,39,775,368,50.32258064516129
20902,2665,53308,2181,49.992496435807006
21530,89,1783,406,49.915872125630955
21835,19,382,130,49.738219895287955
20794,793,16035,1029,49.45431867789211
20851,719,14659,1086,49.04836619141824
21651,114,2346,447,48.59335038363171
21225,1693,34872,1646,48.54897912365221
20607,578,12080,1570,47.8476821192053
21830,231,4837,844,47.756874095513744
21520,98,2056,423,47.66536964980544
21653,5,105,64,47.61904761904761
21722,317,6709,1209,47.24996273662245
21750,165,3613,508,45.668419595903686
21913,40,878,308,45.558086560364465
20603,1449,32495,1906,44.59147561163255
21777,105,2360,443,44.49152542372881
21714,12,272,174,44.11764705882353
21214,930,21510,1718,43.23570432357043
20608,26,603,189,43.117744610281925
20616,292,6792,1180,42.99175500588928
20693,52,1210,518,42.97520661157025
20707,1548,36352,1204,42.583626760563384
20720,1111,26253,1812,42.31897306974441
20744,2353,55820,2945,42.15335005374418
21652,6,143,85,41.95804195804196
21718,6,143,42,41.95804195804196
20623,103,2457,389,41.92104192104192
21001,1059,25908,1040,40.87540528022233
21209,1197,29960,2204,39.953271028037385
21210,586,15005,893,39.05364878373875
21557,69,1782,483,38.72053872053872
20609,48,1240,313,38.70967741935484
21861,30,776,188,38.659793814432994
21631,106,2787,465,38.03372802296376
20724,696,18345,1551,37.93949304987735
21914,28,740,256,37.83783783783784
21545,64,1693,259,37.802717070289425
20722,233,6218,528,37.47185590221936
20695,426,11455,1481,37.189000436490616
21930,1,27,42,37.03703703703704
20901,1373,37207,2224,36.9016582901067
20745,1032,29355,1871,35.155850792028616
21648,6,181,89,33.14917127071823
21229,1451,44332,2465,32.73030767842642
21634,12,367,141,32.6975476839237
20740,1193,36583,785,32.61077549681546
20763,71,2219,748,31.996394772420008
21824,8,253,150,31.620553359683793
21711,27,864,249,31.25
20611,35,1127,275,31.055900621118013
20602,897,28988,1690,30.94383882986063
20769,210,6812,1073,30.82795067527892
20723,1100,35845,1960,30.687683079927464
21075,1098,36176,2498,30.351614329942503
20735,1180,39399,1539,29.949998730932258
21077,3,105,110,28.57142857142857
20708,789,27909,1610,28.270450392346554
20705,805,28660,1914,28.087927424982556
20692,20,721,310,27.739251040221916
21524,20,740,229,27.027027027027028
21850,98,3628,518,27.01212789415656
21837,85,3165,441,26.856240126382307
21133,853,32070,1892,26.598066729030247
20772,1389,52596,2397,26.408852384211727
20689,49,1884,607,26.008492569002126
21643,129,5021,515,25.6920932085242
21678,43,1685,317,25.519287833827892
20706,1107,43797,2670,25.275703815329816
21202,492,20115,1216,24.459358687546608
21215,1294,53674,2752,24.108506912098967
21402,64,2727,511,23.46901356802347
21211,373,15935,805,23.407593347976153
20903,587,25324,2283,23.179592481440533
21521,33,1426,291,23.14165497896213
21218,1068,46548,1868,22.94405774684197
21667,5,218,97,22.93577981651376
21562,73,3248,573,22.47536945812808
