zip,actblue_donations,estimate,moe,per_capita_donations
20612,21,147,133,142.85714285714286
21550,1946,13640,705,142.66862170087975
20634,1095,7853,1330,139.43715777409906
21918,604,4462,668,135.36530703720302
21216,3837,28385,2344,135.17703012154305
20653,3608,27053,1548,133.36783351199497
21532,1754,13229,662,132.5874971653186
21623,282,2187,350,128.94375857338818
21826,717,5569,94,128.74842880229843
21213,3715,28862,1842,128.7159587000208
20675,265,2060,501,128.64077669902912
21219,1232,9605,1032,128.2665278500781
21206,6518,51020,2346,127.75382203057626
21651,297,2346,447,126.5984654731458
21867,3,24,36,125
21798,331,2699,585,122.63801407928862
21237,3793,30983,1755,122.42197334021883
20662,316,2590,464,122.00772200772201
21629,1206,9988,505,120.74489387264718
21128,1908,15934,1436,119.74394376804318
21227,4190,35052,1827,119.536688348739
21536,466,3945,388,118.12420785804817
21639,559,4734,588,118.08196028728348
21087,656,5597,525,117.20564588172235
21632,758,6504,482,116.54366543665436
21780,227,1975,447,114.9367088607595
21875,853,7446,784,114.55815202793445
21851,810,7072,556,114.53619909502262
21641,17,149,58,114.09395973154362
20783,5720,50387,2635,113.52134479131522
21625,258,2329,368,110.7771575783598
21156,40,362,247,110.49723756906077
21840,59,541,357,109.0573012939002
21783,1072,9866,949,108.65599026961281
21226,636,5902,1298,107.76008132836326
20689,201,1884,607,106.68789808917198
21913,93,878,308,105.92255125284738
21160,285,2716,756,104.93372606774669
21901,2086,19938,1527,104.62433543986357
21911,1120,10804,826,103.6653091447612
21640,141,1374,338,102.62008733624454
21719,115,1145,252,100.43668122270742
21520,197,2056,423,95.8171206225681
21531,191,2014,321,94.83614697120159
21727,606,6588,422,91.98542805100182
21040,2305,25110,1503,91.79609717244126
21767,79,873,322,90.49255441008017
21655,427,4753,454,89.8379970544919
21872,51,573,353,89.00523560209423
21917,167,1884,557,88.6411889596603
20659,2061,23346,1541,88.28064764841943
21787,944,10879,601,86.77268131262065
20621,66,775,368,85.16129032258064
20664,225,2780,483,80.93525179856115
21154,568,7059,963,80.4646550502904
21668,148,1842,339,80.34744842562432
21912,119,1495,465,79.59866220735785
21830,383,4837,844,79.18131072979119
21733,95,1202,437,79.03494176372712
21220,3341,42652,2196,78.33161399230985
21871,135,1747,313,77.27532913566114
21223,1598,20728,1461,77.09378618294095
21864,59,778,287,75.83547557840618
21817,312,4138,534,75.39874335427743
21221,3250,43822,2188,74.16366208753594
20755,718,10011,991,71.72110678253921
20670,100,1403,419,71.27583749109053
21636,58,824,272,70.3883495145631
21225,2446,34872,1646,70.14223445744437
21205,1021,14684,1763,69.53146281667121
20628,43,631,331,68.14580031695722
20710,645,9781,194,65.94417748696452
20622,356,5471,1124,65.07037104734052
21824,16,253,150,63.241106719367586
21402,172,2727,511,63.07297396406307
21222,3776,60013,2825,62.91970073150817
21874,139,2222,493,62.55625562556255
21562,202,3248,573,62.19211822660098
20624,60,990,331,60.60606060606061
21132,185,3110,547,59.4855305466238
21664,37,642,229,57.63239875389408
21529,33,575,181,57.391304347826086
21861,42,776,188,54.123711340206185
21672,6,113,86,53.097345132743364
21853,555,10659,673,52.06867435969603
20762,160,3099,395,51.62955792191029
21766,28,544,177,51.470588235294116
21835,19,382,130,49.738219895287955
20609,61,1240,313,49.193548387096776
21622,17,348,105,48.850574712643684
21781,2,41,5,48.78048780487805
20615,25,524,233,47.709923664122144
21677,28,598,195,46.82274247491638
21649,100,2205,525,45.35147392290249
21523,6,133,77,45.11278195488722
20606,11,247,179,44.534412955465584
21757,121,2722,484,44.45260837619398
21829,17,394,222,43.14720812182741
21657,61,1437,388,42.44954766875435
20611,46,1127,275,40.816326530612244
21557,71,1782,483,39.84287317620651
21521,53,1426,291,37.166900420757365
21722,248,6709,1209,36.96527053212103
21052,16,438,259,36.5296803652968
21711,30,864,249,34.72222222222222
20629,37,1072,367,34.51492537313433
21631,94,2787,465,33.72802296376032
21545,55,1693,259,32.486709982279976
21850,110,3628,518,30.319735391400222
21538,17,571,175,29.7723292469352
21251,9,319,106,28.213166144200628
20632,21,802,416,26.184538653366584
21838,55,2219,459,24.785939612438035
22811,10,436,187,22.93577981651376
21648,4,181,89,22.099447513812155
21810,3,160,137,18.75
21920,16,1089,595,14.692378328741965
21539,28,2095,289,13.365155131264915
20742,56,4263,645,13.136288998357964
20889,2,158,23,12.658227848101266
21540,1,94,65,10.638297872340425
22738,8,1106,334,7.2332730560578655
21524,5,740,229,6.756756756756757
22663,5,1076,317,4.646840148698885
21607,2,522,231,3.8314176245210727
21252,9,4456,247,2.0197486535008977
21250,5,2959,570,1.6897600540723217
22044,23,14042,1297,1.6379433129183876
22654,2,1283,385,1.558846453624318
22209,17,13173,788,1.290518484779473
22042,41,34860,2618,1.176133103843947
22740,1,861,315,1.1614401858304297
